Frequency_Hz,Amplitude,Window,file_name
12.0,0.0028167180893617144,13,handflapping-20240913-16h32.csv
13.0,0.004369917909759551,13,handflapping-20240913-16h32.csv
14.0,0.016318560804333304,13,handflapping-20240913-16h32.csv
15.0,0.006313082719942042,13,handflapping-20240913-16h32.csv
16.0,0.0082324498529578,13,handflapping-20240913-16h32.csv
17.0,0.006420301189305637,13,handflapping-20240913-16h32.csv
18.0,0.005571886984295538,13,handflapping-20240913-16h32.csv
19.0,0.0028245563463590562,13,handflapping-20240913-16h32.csv
20.0,0.0060386857736333295,13,handflapping-20240913-16h32.csv
21.0,0.0027064411993046804,13,handflapping-20240913-16h32.csv
22.0,0.006813109486258992,13,handflapping-20240913-16h32.csv
23.0,0.014399356563096004,13,handflapping-20240913-16h32.csv
24.0,0.008045903359493718,13,handflapping-20240913-16h32.csv
0.0,51.06004937451132,14,handflapping-20240913-16h32.csv
1.0,0.0678887992104321,14,handflapping-20240913-16h32.csv
2.0,0.024794745976027363,14,handflapping-20240913-16h32.csv
3.0,0.05341924443585965,14,handflapping-20240913-16h32.csv
4.0,0.015219137932891019,14,handflapping-20240913-16h32.csv
5.0,0.014230427814020995,14,handflapping-20240913-16h32.csv
6.0,0.012027046805692939,14,handflapping-20240913-16h32.csv
7.0,0.004144142044900628,14,handflapping-20240913-16h32.csv
8.0,0.005922984188943412,14,handflapping-20240913-16h32.csv
9.0,0.016186030443151013,14,handflapping-20240913-16h32.csv
10.0,0.007697831945015299,14,handflapping-20240913-16h32.csv
11.0,0.007362911267084212,14,handflapping-20240913-16h32.csv
12.0,0.007289884968388499,14,handflapping-20240913-16h32.csv
13.0,0.0038283803899589234,14,handflapping-20240913-16h32.csv
14.0,0.010495408329677896,14,handflapping-20240913-16h32.csv
15.0,0.01050226112345547,14,handflapping-20240913-16h32.csv
16.0,0.009634864227073759,14,handflapping-20240913-16h32.csv
17.0,0.00948603986807369,14,handflapping-20240913-16h32.csv
18.0,0.004956554716614429,14,handflapping-20240913-16h32.csv
19.0,0.0013992878018634076,14,handflapping-20240913-16h32.csv
20.0,0.0013978423116984618,14,handflapping-20240913-16h32.csv
21.0,0.008401343986868133,14,handflapping-20240913-16h32.csv
22.0,0.009597488130231374,14,handflapping-20240913-16h32.csv
23.0,0.0068562899565123014,14,handflapping-20240913-16h32.csv
24.0,0.009767226730820701,14,handflapping-20240913-16h32.csv
0.0,50.97588714021116,15,handflapping-20240913-16h32.csv
1.0,0.07376532098920062,15,handflapping-20240913-16h32.csv
2.0,0.06269410691112387,15,handflapping-20240913-16h32.csv
3.0,0.02673487481780008,15,handflapping-20240913-16h32.csv
4.0,0.026261881971794774,15,handflapping-20240913-16h32.csv
5.0,0.01083015355196989,15,handflapping-20240913-16h32.csv
6.0,0.0022831322671035244,15,handflapping-20240913-16h32.csv
7.0,0.0061829851065994335,15,handflapping-20240913-16h32.csv
8.0,0.006965898002959821,15,handflapping-20240913-16h32.csv
9.0,0.00590659401711432,15,handflapping-20240913-16h32.csv
10.0,0.015799727561571247,15,handflapping-20240913-16h32.csv
11.0,0.007473620382701469,15,handflapping-20240913-16h32.csv
12.0,0.004310396932923477,15,handflapping-20240913-16h32.csv
13.0,0.002897416574639714,15,handflapping-20240913-16h32.csv
14.0,0.006941071334936871,15,handflapping-20240913-16h32.csv
15.0,0.011456251979385637,15,handflapping-20240913-16h32.csv
16.0,0.004202854218452868,15,handflapping-20240913-16h32.csv
17.0,0.005043011315632892,15,handflapping-20240913-16h32.csv
18.0,0.0031769238775007664,15,handflapping-20240913-16h32.csv
19.0,0.001716781927318293,15,handflapping-20240913-16h32.csv
20.0,0.004206131834846166,15,handflapping-20240913-16h32.csv
21.0,0.006431556062575332,15,handflapping-20240913-16h32.csv
22.0,0.004752405522336085,15,handflapping-20240913-16h32.csv
23.0,0.007990305066183503,15,handflapping-20240913-16h32.csv
24.0,0.0037047948040832973,15,handflapping-20240913-16h32.csv
0.0,51.11332173772515,16,handflapping-20240913-16h32.csv
1.0,0.11719302329552703,16,handflapping-20240913-16h32.csv
2.0,0.05313483201542667,16,handflapping-20240913-16h32.csv
3.0,0.021417974326062295,16,handflapping-20240913-16h32.csv
4.0,0.012008542718492927,16,handflapping-20240913-16h32.csv
5.0,0.0016113959866882756,16,handflapping-20240913-16h32.csv
6.0,0.009648950315479701,16,handflapping-20240913-16h32.csv
7.0,0.004837539278909138,16,handflapping-20240913-16h32.csv
8.0,0.0025425594708488237,16,handflapping-20240913-16h32.csv
9.0,0.004692083271087634,16,handflapping-20240913-16h32.csv
10.0,0.016055585423649592,16,handflapping-20240913-16h32.csv
11.0,0.004645616789836075,16,handflapping-20240913-16h32.csv
12.0,0.0060594202970089195,16,handflapping-20240913-16h32.csv
13.0,0.006211239257582631,16,handflapping-20240913-16h32.csv
14.0,0.003271862071295124,16,handflapping-20240913-16h32.csv
15.0,0.011230547490564327,16,handflapping-20240913-16h32.csv
16.0,0.0025268305981352643,16,handflapping-20240913-16h32.csv
17.0,0.0011585422470704022,16,handflapping-20240913-16h32.csv
18.0,0.002563106578414114,16,handflapping-20240913-16h32.csv
19.0,0.0033460728448613604,16,handflapping-20240913-16h32.csv
20.0,0.0008282278137645898,16,handflapping-20240913-16h32.csv
21.0,0.0032322426711358654,16,handflapping-20240913-16h32.csv
22.0,0.00429437123822953,16,handflapping-20240913-16h32.csv
23.0,0.006317999672085274,16,handflapping-20240913-16h32.csv
24.0,0.0069133482158420965,16,handflapping-20240913-16h32.csv
0.0,51.12035194655297,17,handflapping-20240913-16h32.csv
1.0,0.05028997845695294,17,handflapping-20240913-16h32.csv
2.0,0.05490140060420104,17,handflapping-20240913-16h32.csv
3.0,0.02331265323813096,17,handflapping-20240913-16h32.csv
4.0,0.03758269354482176,17,handflapping-20240913-16h32.csv
5.0,0.014778567023297714,17,handflapping-20240913-16h32.csv
6.0,0.009040221064187035,17,handflapping-20240913-16h32.csv
7.0,0.002894527869318912,17,handflapping-20240913-16h32.csv
8.0,0.00803666301664705,17,handflapping-20240913-16h32.csv
9.0,0.013335991526588814,17,handflapping-20240913-16h32.csv
10.0,0.01269008795798992,17,handflapping-20240913-16h32.csv
11.0,0.013975246356097095,17,handflapping-20240913-16h32.csv
12.0,0.0027362908040837667,17,handflapping-20240913-16h32.csv
13.0,0.004022119278643621,17,handflapping-20240913-16h32.csv
14.0,0.0056638067610037665,17,handflapping-20240913-16h32.csv
15.0,0.007527827202708257,17,handflapping-20240913-16h32.csv
